day,mean_followers,p10,p50,p90
48,38101.85533981615,20113.57210111618,34577.52524187698,61005.145556036216
49,42202.46042718891,22199.26662990348,38214.208344392755,67479.66253684965
50,48724.20840671465,25525.49797197806,44062.290513059765,77979.00613831944
51,56159.6926451376,29085.174949750166,50515.56613317955,90537.71907262527
52,64818.097717874065,33314.86364238664,58211.61928309394,104534.7935494985
53,74706.63856075618,38102.59406987785,66775.52298588594,121008.63664569712
54,86093.43443371143,43657.10690160008,77133.8433943346,139815.02750192344
55,95357.99879789264,48029.47849729478,85423.86586719741,154777.09485682784
56,105605.7942603193,53271.04829279781,94453.72085517948,171903.55574070057
57,121869.22640484542,60937.93977286518,108894.75436301062,199016.86149026317
58,140529.27066773697,69921.1596988046,125644.73575438124,229175.26430283466
59,162171.66579782323,80009.05146718345,144465.52195003873,264910.06030971947
60,187006.96252418886,91997.98907628981,166298.94307374075,307982.18874194537
61,215701.64674464936,105345.31124116026,191437.08459305094,354742.77838290966
62,238976.39712755982,116173.13379390394,211959.79494487657,393354.29330691835
63,264678.3605161036,128495.72676702066,234767.23192291002,436054.69447706133
64,305161.063044998,147414.82991739514,269978.5700532718,505417.03335560183
65,352043.01309560676,168873.23539773293,310265.9739836545,585338.8035140118
66,406139.0408612572,193325.23650654193,358242.45618712483,677142.1073701433
67,468480.1810243764,221796.66110674446,412049.81255063077,784376.8253743945
68,540088.6366288433,253830.50384234634,473964.00839880947,906855.227280666
69,597833.9293320398,280304.89111507335,524704.5645644802,1006079.8923664907
70,661637.7116276388,309022.54367467907,579216.4087928728,1114905.4425194364
71,762827.3442348129,354783.8060756362,666690.2594320208,1284860.2077469723
72,879715.1178661297,405455.3797111361,769794.0166744741,1480070.6579864228
73,1014573.7233787262,466523.089637903,886366.7214901999,1710422.798201004
74,1169870.096557262,533103.918800051,1023112.6997522871,1982188.786063843
75,1349662.5508495148,610636.9827203271,1176103.996912187,2291756.5930006187
76,1494373.8849205459,673687.8513437904,1302145.573564143,2539005.1508730026
77,1653470.085584796,743198.9962794683,1436155.1975859888,2815540.1667060014
78,1905311.5578044045,849549.9018925922,1648329.3154720762,3241868.541104896
79,2196896.1285440484,972703.1155922263,1904676.0131704113,3755192.5104394318
80,2535569.2441777373,1115573.9684405536,2192462.0292381207,4338315.148672782
81,2924885.2234966187,1283227.517822855,2519021.103685756,5025923.612619031
82,3371696.794225425,1473028.661341922,2909410.5386252934,5793974.7423427645
83,3731577.441036953,1624114.5497714146,3207991.641591563,6434274.421466517
84,4132925.3452647035,1787446.8363172847,3553575.615188047,7119280.968838773
85,4764772.125794075,2056062.8557308747,4106369.9532292085,8194240.750938182
86,5495142.614000936,2361833.456555566,4725591.199105626,9499615.320490189
87,6340079.97462938,2713852.0701190108,5459918.984579957,10968239.42367733
88,7313235.998821777,3124675.2029636856,6287954.44570213,12652401.351251394
89,8439180.648031402,3570413.58450227,7237984.171906324,14635850.872373223
90,9345285.837889481,3939842.748102309,8001545.133197619,16213163.691826694
